,score,anime_id,type,source,episodes,rating,scored_by,members,favorites,studio,genre,duration_min,aired_from_year
0,375,3465,5,6,12,3,4781,5630,934,142,2029,55,59
1,401,1445,5,6,26,3,4606,5496,920,202,1886,55,54
2,367,2424,5,6,51,2,3986,4696,595,461,1838,55,55
3,433,577,5,9,38,3,3974,4948,973,221,1607,47,49
4,478,3609,5,6,25,3,4677,5436,880,242,1634,55,59
5,415,2666,5,6,50,0,3486,4262,605,567,2542,55,56
6,338,152,5,6,26,0,2706,3499,122,435,2554,55,50
7,384,1746,5,5,24,3,4750,5530,689,242,499,55,54
8,436,2246,5,6,11,3,4271,4877,275,242,2666,54,55
9,446,656,5,6,26,3,4974,5792,1194,95,1769,54,53
10,427,2323,5,6,12,3,4424,5065,704,519,1635,55,55
11,432,2775,5,6,26,3,4967,5789,1163,242,1927,55,57
12,435,3481,5,6,12,3,4260,4920,558,519,1635,55,58
13,383,3787,5,6,13,3,4952,5774,1009,103,3032,55,59
14,402,229,5,6,154,3,5005,5843,1211,556,90,55,51
15,365,40,5,6,26,3,4858,5672,969,306,2878,55,49
16,425,2559,5,6,25,3,4908,5749,1110,417,3072,53,56
17,430,1230,5,6,157,3,4993,5841,1213,556,88,54,54
18,397,179,5,6,126,5,4339,5242,928,519,3018,55,36
19,451,2218,5,5,25,3,5022,5848,1206,242,3029,55,55
20,461,3250,5,6,25,3,4740,5488,675,242,1634,55,58
21,389,54,5,6,26,0,3896,4583,768,215,1967,56,51
22,436,2301,5,6,25,3,4600,5376,1031,221,1631,55,55
23,459,3801,5,6,25,3,4376,5106,702,306,2094,53,60
24,380,1117,5,5,26,3,3108,4115,268,519,740,54,53
25,441,3425,5,6,25,3,4587,5514,1025,306,2094,53,58
26,382,2078,5,6,25,3,4605,5391,923,597,1940,55,55
27,414,3148,5,6,59,3,4775,5653,1000,403,292,55,58
28,399,2516,5,6,39,3,3248,4241,430,556,2184,55,56
29,445,3211,5,6,74,3,4129,5220,909,618,1968,55,58
30,322,2886,5,0,12,5,4791,5576,813,222,1917,55,57
31,385,745,5,6,0,2,3298,3984,486,479,3008,52,39
32,389,97,5,6,26,3,4843,5639,1096,519,2997,55,48
33,416,739,5,5,39,3,3575,4561,685,306,1403,56,53
34,466,11,5,6,0,3,5004,5825,1221,639,85,55,46
35,430,1361,5,6,51,0,2415,3473,343,650,2207,56,52
36,376,660,5,6,25,5,4751,5565,965,639,331,55,53
37,428,1320,5,5,39,3,2912,3725,201,306,1222,56,54
38,402,210,5,6,128,3,4871,5720,1146,583,52,55,47
39,242,2679,5,6,12,3,3243,4053,48,696,2228,55,57
40,446,2499,5,6,11,3,4191,4871,357,242,1802,53,57
41,404,1130,5,8,25,3,4448,5336,920,242,1798,56,53
42,365,3542,5,5,24,3,4930,5758,994,583,653,55,59
43,444,2860,5,6,25,3,4839,5689,1080,242,1634,55,57
44,453,1208,5,6,23,3,4583,5481,1022,242,2664,53,54
45,426,3817,5,6,13,3,4779,5602,1072,597,1573,55,59
46,433,194,5,6,67,2,4739,5569,1124,306,1233,56,45
47,390,195,5,6,75,0,2314,3039,215,242,1979,56,47
48,424,3170,5,6,12,3,4768,5541,703,417,3072,54,58
49,419,3225,5,6,12,3,4449,5163,945,519,1635,54,58
50,261,1651,5,9,12,0,2200,2911,18,519,1925,55,54
51,411,1882,5,6,12,3,4577,5296,1035,519,1635,55,55
52,375,1137,5,13,25,3,3980,4727,705,694,1596,55,53
53,404,5447,5,6,13,4,4063,5068,604,597,261,55,63
54,352,5933,3,9,1,4,3167,3890,270,295,889,56,64
55,425,129,5,8,45,3,3778,4852,859,556,158,56,49
56,216,4756,3,13,1,3,2670,3310,64,432,2436,42,62
57,13,5738,5,6,0,1,18,278,0,264,1552,32,63
58,326,805,3,6,4,3,3211,3971,184,202,215,63,45
59,227,3622,4,5,6,3,1509,2343,3,142,1552,40,58
60,347,1018,4,5,1,3,771,1264,3,583,823,121,47
61,354,2898,4,9,25,3,1215,2255,7,556,1552,34,57
62,61,5512,2,9,1,0,22,64,0,136,1552,35,63
63,203,5842,5,6,12,3,1991,3105,13,556,944,44,63
64,413,3799,0,9,1,4,4548,5228,224,306,2365,56,60
65,298,2417,5,6,51,2,97,460,3,597,2359,54,55
66,253,4750,5,6,10,5,3937,4842,158,680,132,54,62
67,185,3957,3,6,1,1,119,317,0,254,222,77,44
68,132,6549,5,10,10,5,1997,3464,47,108,2235,36,65
69,277,5486,4,5,1,3,3222,3804,29,3,1552,42,63
70,204,4591,4,6,4,0,156,534,0,166,1986,49,61
71,175,1260,3,9,2,4,715,1072,3,50,1087,60,41
72,266,3177,3,13,1,6,1493,2072,39,177,2439,53,57
73,307,627,5,9,13,3,2526,3404,159,461,1378,57,48
74,426,2883,5,0,26,3,4862,5677,1089,283,1864,55,57
75,305,588,3,6,2,5,2814,3235,92,660,2193,61,52
76,325,3464,0,4,1,2,1437,2076,13,358,1256,45,53
77,359,3033,5,6,12,3,3124,4083,143,474,1998,55,57
78,369,3919,0,6,1,0,1848,2690,17,709,2301,131,60
79,215,5752,5,6,12,3,2211,2974,13,129,1955,34,63
80,193,1142,3,13,2,2,875,1204,0,709,1480,58,51
81,400,4257,5,9,13,3,4500,5395,941,95,2969,55,61
82,389,5009,3,6,2,3,3919,4628,94,3,268,55,62
83,362,4167,5,6,12,3,4209,5043,593,455,1082,55,60
84,259,6247,5,9,25,3,654,1711,7,583,2628,55,64
85,261,6517,3,6,1,6,552,974,6,373,2439,47,64
86,329,1495,0,11,1,3,1364,1845,21,460,1358,77,25
87,381,6051,5,9,22,4,4494,5515,828,610,1034,55,64
88,354,200,5,6,42,3,3325,4174,217,556,207,54,44
89,414,4802,5,8,13,3,4626,5495,972,283,2652,54,62
90,491,6546,5,6,12,3,3140,4179,365,80,1002,55,65
91,218,910,5,9,26,3,412,1776,15,12,1517,55,53
92,339,4576,5,6,12,3,3928,4833,210,479,1987,54,61
93,278,2151,5,10,114,0,38,257,2,641,1998,54,55
94,382,3455,4,6,2,3,1377,2010,2,16,2194,54,58
95,348,4433,5,2,12,4,4130,5005,431,242,2368,55,61
96,240,3545,5,6,12,5,2592,3384,26,291,1712,37,59
97,217,3294,5,6,104,0,50,143,0,479,2013,41,34
98,406,3912,0,6,1,3,3443,4210,228,3,1987,120,60
99,324,3076,3,10,22,4,2239,3485,55,306,482,55,58
100,209,2064,4,6,1,3,285,632,2,639,501,116,29
101,385,5717,5,6,12,4,3891,4803,453,306,2723,55,64
102,332,5982,5,6,12,3,3728,4732,147,242,1506,54,64
103,296,6577,5,14,13,0,879,1620,6,703,1807,34,65
104,397,450,5,5,26,3,4106,4916,826,152,1216,53,42
105,313,5377,5,9,12,3,3664,4735,159,639,2834,54,64
